gene	ensg	dataset	study_id	study	tissue	quant	n	n_cs	max_pip	n_mtid	best_mtid
HMGCR	ENSG00000113161	QTD000242	QTS000015	GTEx	esophagus (mucosa)	exon	493	1	1.0	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000217	QTS000015	GTEx	fibroblast	exon	483	6	0.9999	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000052	QTS000005	BrainSeq	brain (DLPFC)	exon	479	109	0.2181	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000374	QTS000019	Lepik_2017	blood	exon	471	89	0.8897	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000122	QTS000015	GTEx	adipose (visceral)	exon	469	3	0.7381	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000247	QTS000015	GTEx	esophagus (muscularis)	exon	461	12	0.9092	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000111	QTS000013	GEUVADIS	LCL	exon	445	98	1.0	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000540	QTS000029	TwinsUK	LCL	exon	418	158	0.5004	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000132	QTS000015	GTEx	artery (aorta)	exon	387	5	0.9363	2	ENSG00000113161.17_5_75337220_75337221
HMGCR	ENSG00000113161	QTD000257	QTS000015	GTEx	heart (left ventricle)	exon	382	7	0.9067	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000545	QTS000029	TwinsUK	skin	exon	370	2	0.9218	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000232	QTS000015	GTEx	transverse colon	exon	368	1	0.9943	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000237	QTS000015	GTEx	esophagus (gej)	exon	330	4	0.8816	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000332	QTS000015	GTEx	stomach	exon	324	10	0.411	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000337	QTS000015	GTEx	testis	exon	322	13	0.3425	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000362	QTS000016	HipSci	iPSC	exon	322	53	0.9999	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000227	QTS000015	GTEx	sigmoid colon	exon	318	15	0.2872	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000297	QTS000015	GTEx	pancreas	exon	305	6	0.9857	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000086	QTS000011	FUSION	muscle	exon	288	45	0.2213	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000302	QTS000015	GTEx	pituitary	exon	237	25	0.7524	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000127	QTS000015	GTEx	adrenal gland	exon	233	2	0.9445	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000327	QTS000015	GTEx	spleen	exon	227	3	0.9981	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000580	QTS000034	Walker_2019	neocortex	exon	211	14	0.6964	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000167	QTS000015	GTEx	brain (cerebellum)	exon	209	18	0.7581	2	ENSG00000113161.17_5_75359557_75359761
HMGCR	ENSG00000113161	QTD000420	QTS000024	Quach_2016	monocyte	exon	196	14	0.8538	3	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000022	QTS000002	BLUEPRINT	monocyte	exon	191	190	0.0753	2	ENSG00000113161.17_5_75344623_75344745
HMGCR	ENSG00000113161	QTD000096	QTS000012	GENCORD	LCL	exon	190	3	0.9945	2	ENSG00000113161.17_5_75337180_75337199
HMGCR	ENSG00000113161	QTD000415	QTS000024	Quach_2016	monocyte	exon	184	17	0.3313	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000322	QTS000015	GTEx	small intestine	exon	174	9	0.7014	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000292	QTS000015	GTEx	ovary	exon	167	21	0.3555	2	ENSG00000113161.17_5_75354308_75354502
HMGCR	ENSG00000113161	QTD000057	QTS000006	CAP	LCL	exon	148	4	0.511	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000062	QTS000006	CAP	LCL	exon	148	20	0.3841	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000222	QTS000015	GTEx	LCL	exon	147	16	1.0	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000037	QTS000003	Bossini-Castillo_2019	Treg memory	exon	119	72	0.7719	2	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000555	QTS000030	van_de_Bunt_2015	pancreatic islet	exon	117	17	0.058	1	ENSG00000113161.17_5_75355215_75355364
HMGCR	ENSG00000113161	QTD000515	QTS000027	Schwartzentruber_2018	sensory neuron	exon	98	4	0.9783	2	ENSG00000113161.17_5_75336329_75336617
HMGCR	ENSG00000113161	QTD000485	QTS000026	Schmiedel_2018	CD4+ T cell	exon	89	24	0.9669	2	ENSG00000113161.17_5_75337348_75337676
HMGCR	ENSG00000113161	QTD000495	QTS000026	Schmiedel_2018	CD8+ T cell	exon	88	14	0.9809	2	ENSG00000113161.17_5_75344031_75344244
HMGCR	ENSG00000113161	QTD000565	QTS000032	Aygun_2021	neural progenitor	exon	85	22	0.9998	2	ENSG00000113161.17_5_75337200_75337219
HMGCR	ENSG00000113161	QTD000085	QTS000011	FUSION	muscle	ge	288	63	0.0771	1	ENSG00000113161
HMGCR	ENSG00000113161	QTD000245	QTS000015	GTEx	esophagus (mucosa)	leafcutter	493	1	0.9769	1	5:75354697:75355365:clu_37758_+
HMGCR	ENSG00000113161	QTD000114	QTS000013	GEUVADIS	LCL	leafcutter	445	1	0.9733	1	5:75354697:75355365:clu_24161_+
HMGCR	ENSG00000113161	QTD000365	QTS000016	HipSci	iPSC	leafcutter	322	28	0.1941	1	5:75354697:75355365:clu_12593_-
HMGCR	ENSG00000113161	QTD000413	QTS000024	Quach_2016	monocyte	leafcutter	200	7	0.534	1	5:75354697:75355365:clu_29311_+
HMGCR	ENSG00000113161	QTD000423	QTS000024	Quach_2016	monocyte	leafcutter	196	1	0.9826	1	5:75354697:75355365:clu_29311_+
HMGCR	ENSG00000113161	QTD000418	QTS000024	Quach_2016	monocyte	leafcutter	184	16	0.6703	1	5:75354697:75355365:clu_29311_+
HMGCR	ENSG00000113161	QTD000060	QTS000006	CAP	LCL	leafcutter	148	1	0.9975	1	5:75354697:75355365:clu_11867_-
HMGCR	ENSG00000113161	QTD000065	QTS000006	CAP	LCL	leafcutter	148	4	0.3501	1	5:75354697:75355365:clu_11867_-
HMGCR	ENSG00000113161	QTD000005	QTS000001	Alasoo_2018	macrophage	leafcutter	84	2	0.6431	1	5:75354697:75355365:clu_9027_-
HMGCR	ENSG00000113161	QTD000318	QTS000015	GTEx	skin	tx	602	2	0.9289	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000343	QTS000015	GTEx	thyroid	tx	574	15	0.9965	2	ENST00000508070
HMGCR	ENSG00000113161	QTD000288	QTS000015	GTEx	tibial nerve	tx	532	3	0.6739	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000313	QTS000015	GTEx	skin (suprapubic)	tx	517	1	0.9998	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000273	QTS000015	GTEx	lung	tx	510	1	0.9952	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000243	QTS000015	GTEx	esophagus (mucosa)	tx	493	1	1.0	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000218	QTS000015	GTEx	fibroblast	tx	483	1	1.0	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000123	QTS000015	GTEx	adipose (visceral)	tx	469	4	0.6538	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000112	QTS000013	GEUVADIS	LCL	tx	445	1	0.9989	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000541	QTS000029	TwinsUK	LCL	tx	418	5	0.6878	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000133	QTS000015	GTEx	artery (aorta)	tx	387	24	0.163	1	ENST00000343975
HMGCR	ENSG00000113161	QTD000233	QTS000015	GTEx	transverse colon	tx	368	7	0.6798	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000333	QTS000015	GTEx	stomach	tx	324	16	0.2503	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000338	QTS000015	GTEx	testis	tx	322	17	0.1068	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000363	QTS000016	HipSci	iPSC	tx	322	1	0.9995	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000298	QTS000015	GTEx	pancreas	tx	305	15	0.9524	2	ENST00000508070
HMGCR	ENSG00000113161	QTD000087	QTS000011	FUSION	muscle	tx	288	54	0.1005	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000303	QTS000015	GTEx	pituitary	tx	237	19	0.6056	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000128	QTS000015	GTEx	adrenal gland	tx	233	1	0.9977	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000328	QTS000015	GTEx	spleen	tx	227	12	0.4604	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000168	QTS000015	GTEx	brain (cerebellum)	tx	209	15	0.7742	2	ENST00000508070
HMGCR	ENSG00000113161	QTD000421	QTS000024	Quach_2016	monocyte	tx	196	8	0.3432	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000097	QTS000012	GENCORD	LCL	tx	190	2	0.9054	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000416	QTS000024	Quach_2016	monocyte	tx	184	19	0.4815	1	ENST00000343975
HMGCR	ENSG00000113161	QTD000293	QTS000015	GTEx	ovary	tx	167	15	0.4019	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000058	QTS000006	CAP	LCL	tx	148	3	0.9194	1	ENST00000287936
HMGCR	ENSG00000113161	QTD000063	QTS000006	CAP	LCL	tx	148	16	0.3237	2	ENST00000343975
HMGCR	ENSG00000113161	QTD000223	QTS000015	GTEx	LCL	tx	147	1	1.0	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000348	QTS000015	GTEx	uterus	tx	129	48	0.0931	2	ENST00000508070
HMGCR	ENSG00000113161	QTD000516	QTS000027	Schwartzentruber_2018	sensory neuron	tx	98	48	0.5333	1	ENST00000508070
HMGCR	ENSG00000113161	QTD000003	QTS000001	Alasoo_2018	macrophage	tx	84	28	0.3333	1	ENST00000343975
HMGCR	ENSG00000113161	QTD000319	QTS000015	GTEx	skin	txrev	602	1	0.9956	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000078	QTS000008	CommonMind	brain (DLPFC)	txrev	586	92	0.9753	2	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000144	QTS000015	GTEx	artery (tibial)	txrev	584	79	0.5364	2	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000119	QTS000015	GTEx	adipose	txrev	581	2	0.9454	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000344	QTS000015	GTEx	thyroid	txrev	574	1	1.0	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000437	QTS000025	ROSMAP	brain (DLPFC)	txrev	560	71	0.9069	2	ENSG00000113161.grp_1.downstream.ENST00000511206
HMGCR	ENSG00000113161	QTD000289	QTS000015	GTEx	tibial nerve	txrev	532	1	0.9995	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000314	QTS000015	GTEx	skin (suprapubic)	txrev	517	1	0.9999	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000274	QTS000015	GTEx	lung	txrev	510	1	0.9786	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000244	QTS000015	GTEx	esophagus (mucosa)	txrev	493	1	1.0	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000219	QTS000015	GTEx	fibroblast	txrev	483	1	1.0	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000054	QTS000005	BrainSeq	brain (DLPFC)	txrev	479	1	0.9572	1	ENSG00000113161.grp_2.downstream.ENST00000679456
HMGCR	ENSG00000113161	QTD000376	QTS000019	Lepik_2017	blood	txrev	471	89	0.1724	2	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000124	QTS000015	GTEx	adipose (visceral)	txrev	469	3	0.8928	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000249	QTS000015	GTEx	esophagus (muscularis)	txrev	461	15	0.7008	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000113	QTS000013	GEUVADIS	LCL	txrev	445	1	1.0	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000542	QTS000029	TwinsUK	LCL	txrev	418	11	0.1451	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000214	QTS000015	GTEx	breast	txrev	394	6	0.8621	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000134	QTS000015	GTEx	artery (aorta)	txrev	387	3	0.9239	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000259	QTS000015	GTEx	heart (left ventricle)	txrev	382	4	0.9023	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000254	QTS000015	GTEx	heart (atrial appendage)	txrev	372	32	0.7282	2	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000547	QTS000029	TwinsUK	skin	txrev	370	28	0.3455	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000234	QTS000015	GTEx	transverse colon	txrev	368	1	0.9996	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000239	QTS000015	GTEx	esophagus (gej)	txrev	330	11	0.5685	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000334	QTS000015	GTEx	stomach	txrev	324	6	0.5512	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000339	QTS000015	GTEx	testis	txrev	322	5	0.5876	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000364	QTS000016	HipSci	iPSC	txrev	322	1	1.0	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000299	QTS000015	GTEx	pancreas	txrev	305	1	0.9991	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000088	QTS000011	FUSION	muscle	txrev	288	48	0.8316	2	ENSG00000113161.grp_2.contained.ENST00000511206
HMGCR	ENSG00000113161	QTD000093	QTS000011	FUSION	adipose	txrev	271	103	0.0494	1	ENSG00000113161.grp_1.downstream.ENST00000679456
HMGCR	ENSG00000113161	QTD000304	QTS000015	GTEx	pituitary	txrev	237	1	0.9868	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000129	QTS000015	GTEx	adrenal gland	txrev	233	1	0.9987	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000329	QTS000015	GTEx	spleen	txrev	227	5	0.9179	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000169	QTS000015	GTEx	brain (cerebellum)	txrev	209	20	0.5317	2	ENSG00000113161.grp_2.contained.ENST00000514315
HMGCR	ENSG00000113161	QTD000174	QTS000015	GTEx	brain (cortex)	txrev	205	9	0.2561	1	ENSG00000113161.grp_1.downstream.ENST00000680160
HMGCR	ENSG00000113161	QTD000422	QTS000024	Quach_2016	monocyte	txrev	196	1	0.9847	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000098	QTS000012	GENCORD	LCL	txrev	190	2	0.9166	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000417	QTS000024	Quach_2016	monocyte	txrev	184	18	0.2342	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000324	QTS000015	GTEx	small intestine	txrev	174	9	0.8419	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000294	QTS000015	GTEx	ovary	txrev	167	12	0.6517	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000059	QTS000006	CAP	LCL	txrev	148	1	0.9997	1	ENSG00000113161.grp_2.contained.ENST00000343975
HMGCR	ENSG00000113161	QTD000064	QTS000006	CAP	LCL	txrev	148	4	0.3476	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000224	QTS000015	GTEx	LCL	txrev	147	1	1.0	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000039	QTS000003	Bossini-Castillo_2019	Treg memory	txrev	119	27	0.4125	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000557	QTS000030	van_de_Bunt_2015	pancreatic islet	txrev	117	22	0.2958	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000517	QTS000027	Schwartzentruber_2018	sensory neuron	txrev	98	1	0.9965	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000487	QTS000026	Schmiedel_2018	CD4+ T cell	txrev	89	23	0.1478	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000497	QTS000026	Schmiedel_2018	CD8+ T cell	txrev	88	12	0.1823	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000567	QTS000032	Aygun_2021	neural progenitor	txrev	85	22	0.0727	1	ENSG00000113161.grp_2.contained.ENST00000508070
HMGCR	ENSG00000113161	QTD000004	QTS000001	Alasoo_2018	macrophage	txrev	84	2	0.7154	1	ENSG00000113161.grp_2.contained.ENST00000508070
LDLR	ENSG00000130164	QTD000031	QTS000002	BLUEPRINT	CD4+ T cell	ge	167	2	0.8225	1	ENSG00000130164
LDLR	ENSG00000130164	QTD000365	QTS000016	HipSci	iPSC	leafcutter	322	32	0.1981	1	19:11116212:11120092:clu_14509_-
LDLR	ENSG00000130164	QTD000318	QTS000015	GTEx	skin	tx	602	74	0.0661	2	ENST00000559340
LDLR	ENSG00000130164	QTD000118	QTS000015	GTEx	adipose	tx	581	8	0.629	1	ENST00000558518
LDLR	ENSG00000130164	QTD000273	QTS000015	GTEx	lung	tx	510	34	0.2094	1	ENST00000559340
LDLR	ENSG00000130164	QTD000243	QTS000015	GTEx	esophagus (mucosa)	tx	493	31	0.091	1	ENST00000558518
LDLR	ENSG00000130164	QTD000218	QTS000015	GTEx	fibroblast	tx	483	62	0.8866	2	ENST00000558518
LDLR	ENSG00000130164	QTD000363	QTS000016	HipSci	iPSC	tx	322	30	0.3073	1	ENST00000559340
LDLR	ENSG00000130164	QTD000102	QTS000012	GENCORD	fibroblast	tx	186	44	0.0953	1	ENST00000558013
LDLR	ENSG00000130164	QTD000319	QTS000015	GTEx	skin	txrev	602	1	0.9946	1	ENSG00000130164.grp_2.contained.ENST00000560173
LDLR	ENSG00000130164	QTD000314	QTS000015	GTEx	skin (suprapubic)	txrev	517	1	1.0	1	ENSG00000130164.grp_2.contained.ENST00000560173
LDLR	ENSG00000130164	QTD000274	QTS000015	GTEx	lung	txrev	510	3	0.9539	2	ENSG00000130164.grp_1.contained.ENST00000560628
LDLR	ENSG00000130164	QTD000244	QTS000015	GTEx	esophagus (mucosa)	txrev	493	35	0.0871	1	ENSG00000130164.grp_2.downstream.ENST00000560502
LDLR	ENSG00000130164	QTD000219	QTS000015	GTEx	fibroblast	txrev	483	28	0.6524	1	ENSG00000130164.grp_1.downstream.ENST00000560502
LDLR	ENSG00000130164	QTD000054	QTS000005	BrainSeq	brain (DLPFC)	txrev	479	64	0.5947	2	ENSG00000130164.grp_1.contained.ENST00000559340
LDLR	ENSG00000130164	QTD000113	QTS000013	GEUVADIS	LCL	txrev	445	46	0.035	1	ENSG00000130164.grp_1.downstream.ENST00000558013
LDLR	ENSG00000130164	QTD000364	QTS000016	HipSci	iPSC	txrev	322	88	0.3867	2	ENSG00000130164.grp_2.downstream.ENST00000558013
LDLR	ENSG00000130164	QTD000432	QTS000024	Quach_2016	monocyte	txrev	198	36	0.9984	2	ENSG00000130164.grp_1.downstream.ENST00000558013
LDLR	ENSG00000130164	QTD000103	QTS000012	GENCORD	fibroblast	txrev	186	50	0.0487	1	ENSG00000130164.grp_2.downstream.ENST00000558013
LDLR	ENSG00000130164	QTD000059	QTS000006	CAP	LCL	txrev	148	33	0.2944	1	ENSG00000130164.grp_2.downstream.ENST00000560502
LDLR	ENSG00000130164	QTD000064	QTS000006	CAP	LCL	txrev	148	30	0.3202	1	ENSG00000130164.grp_1.downstream.ENST00000560502
LDLR	ENSG00000130164	QTD000224	QTS000015	GTEx	LCL	txrev	147	33	0.0636	1	ENSG00000130164.grp_1.downstream.ENST00000560502
LPL	ENSG00000175445	QTD000357	QTS000015	GTEx	blood	exon	670	16	0.778	1	ENSG00000175445.17_8_19948304_19948340
LPL	ENSG00000175445	QTD000287	QTS000015	GTEx	tibial nerve	exon	532	1	0.9997	1	ENSG00000175445.17_8_19951697_19951768
LPL	ENSG00000175445	QTD000272	QTS000015	GTEx	lung	exon	510	7	0.6519	1	ENSG00000175445.17_8_19954120_19954151
LPL	ENSG00000175445	QTD000374	QTS000019	Lepik_2017	blood	exon	471	3	0.541	1	ENSG00000175445.17_8_19965310_19967196
LPL	ENSG00000175445	QTD000091	QTS000011	FUSION	adipose	exon	271	1	0.9989	1	ENSG00000175445.17_8_19938933_19938956
LPL	ENSG00000175445	QTD000327	QTS000015	GTEx	spleen	exon	227	2	0.8856	1	ENSG00000175445.17_8_19967197_19967259
LPL	ENSG00000175445	QTD000410	QTS000024	Quach_2016	monocyte	exon	200	13	1.0	1	ENSG00000175445.17_8_19939253_19939255
LPL	ENSG00000175445	QTD000430	QTS000024	Quach_2016	monocyte	exon	198	68	0.9885	3	ENSG00000175445.17_8_19951769_19951828
LPL	ENSG00000175445	QTD000420	QTS000024	Quach_2016	monocyte	exon	196	34	0.9977	2	ENSG00000175445.17_8_19939223_19939252
LPL	ENSG00000175445	QTD000022	QTS000002	BLUEPRINT	monocyte	exon	191	6	0.9412	2	ENSG00000175445.17_8_19955841_19956004
LPL	ENSG00000175445	QTD000425	QTS000024	Quach_2016	monocyte	exon	191	6	0.9926	3	ENSG00000175445.17_8_19951697_19951768
LPL	ENSG00000175445	QTD000415	QTS000024	Quach_2016	monocyte	exon	184	1	0.9765	1	ENSG00000175445.17_8_19951697_19951768
LPL	ENSG00000175445	QTD000500	QTS000026	Schmiedel_2018	CD16+ monocyte	exon	90	3	0.9474	1	ENSG00000175445.17_8_19954120_19954151
LPL	ENSG00000175445	QTD000356	QTS000015	GTEx	blood	ge	670	36	0.2699	1	ENSG00000175445
LPL	ENSG00000175445	QTD000271	QTS000015	GTEx	lung	ge	510	6	0.5687	1	ENSG00000175445
LPL	ENSG00000175445	QTD000373	QTS000019	Lepik_2017	blood	ge	471	3	0.7055	1	ENSG00000175445
LPL	ENSG00000175445	QTD000534	QTS000029	TwinsUK	adipose	ge	381	18	0.0717	1	ENSG00000175445
LPL	ENSG00000175445	QTD000326	QTS000015	GTEx	spleen	ge	227	7	0.5368	1	ENSG00000175445
LPL	ENSG00000175445	QTD000409	QTS000024	Quach_2016	monocyte	ge	200	1	0.9692	1	ENSG00000175445
LPL	ENSG00000175445	QTD000429	QTS000024	Quach_2016	monocyte	ge	198	2	0.8953	1	ENSG00000175445
LPL	ENSG00000175445	QTD000419	QTS000024	Quach_2016	monocyte	ge	196	22	0.921	1	ENSG00000175445
LPL	ENSG00000175445	QTD000021	QTS000002	BLUEPRINT	monocyte	ge	191	1	0.9998	1	ENSG00000175445
LPL	ENSG00000175445	QTD000424	QTS000024	Quach_2016	monocyte	ge	191	31	0.916	1	ENSG00000175445
LPL	ENSG00000175445	QTD000414	QTS000024	Quach_2016	monocyte	ge	184	24	0.9677	1	ENSG00000175445
LPL	ENSG00000175445	QTD000384	QTS000021	Nedelec_2016	macrophage	ge	163	1	0.9999	1	ENSG00000175445
LPL	ENSG00000175445	QTD000499	QTS000026	Schmiedel_2018	CD16+ monocyte	ge	90	76	0.0758	1	ENSG00000175445
LPL	ENSG00000175445	QTD000160	QTS000015	GTEx	brain (caudate)	leafcutter	194	18	0.0879	1	8:19962219:19965310:clu_11475_+
LPL	ENSG00000175445	QTD000383	QTS000021	Nedelec_2016	macrophage	leafcutter	163	9	0.1949	1	8:19962219:19965310:clu_6889_+
LPL	ENSG00000175445	QTD000081	QTS000010	Fairfax_2014	monocyte	microarray	420	80	0.1968	1	ILMN_1786444
LPL	ENSG00000175445	QTD000069	QTS000007	CEDAR	monocyte	microarray	286	84	0.0777	1	ILMN_1786444
LPL	ENSG00000175445	QTD000115	QTS000014	Gilchrist_2021	NK cell	microarray	247	51	0.0559	1	ILMN_1786444
LPL	ENSG00000175445	QTD000243	QTS000015	GTEx	esophagus (mucosa)	tx	493	2	0.94	1	ENST00000650287
LPL	ENSG00000175445	QTD000119	QTS000015	GTEx	adipose	txrev	581	5	0.4848	1	ENSG00000175445.grp_2.contained.ENST00000524029
LPL	ENSG00000175445	QTD000289	QTS000015	GTEx	tibial nerve	txrev	532	1	0.9942	1	ENSG00000175445.grp_1.contained.ENST00000521994
LPL	ENSG00000175445	QTD000093	QTS000011	FUSION	adipose	txrev	271	24	0.0537	1	ENSG00000175445.grp_2.contained.ENST00000650478
NPC1L1	ENSG00000015520	QTD000117	QTS000015	GTEx	adipose	exon	581	1	0.9574	1	ENSG00000015520.15_7_44512538_44513649
NPC1L1	ENSG00000015520	QTD000535	QTS000029	TwinsUK	adipose	exon	381	2	0.8188	1	ENSG00000015520.15_7_44512538_44513649
NPC1L1	ENSG00000015520	QTD000091	QTS000011	FUSION	adipose	exon	271	1	1.0	1	ENSG00000015520.15_7_44512538_44513649
NPC1L1	ENSG00000015520	QTD000281	QTS000015	GTEx	muscle	ge	702	3	0.3334	1	ENSG00000015520
NPC1L1	ENSG00000015520	QTD000116	QTS000015	GTEx	adipose	ge	581	2	0.9183	1	ENSG00000015520
NPC1L1	ENSG00000015520	QTD000534	QTS000029	TwinsUK	adipose	ge	381	3	0.5947	1	ENSG00000015520
NPC1L1	ENSG00000015520	QTD000090	QTS000011	FUSION	adipose	ge	271	1	1.0	1	ENSG00000015520
PCSK9	ENSG00000169174	QTD000287	QTS000015	GTEx	tibial nerve	exon	532	1	0.999	1	ENSG00000169174.11_1_55059486_55059663
PCSK9	ENSG00000169174	QTD000272	QTS000015	GTEx	lung	exon	510	3	0.5622	1	ENSG00000169174.11_1_55052650_55052694
